measurement_set_id,measurement_set_sequence,measurement_set_timestamp_utc,sample_index,sample_timestamp_utc,collector_id,device_name,environment,building,floor,capture_interval_seconds_config,wdutil_samples_config,wdutil_delay_seconds_config,unredactor_found,unredactor_parse_error,unredactor_ssid,unredactor_bssid,unredactor_interface,wdutil_ssid,wdutil_bssid,wdutil_rssi_dbm,wdutil_noise_dbm,wdutil_tx_rate,wdutil_channel,wdutil_mac_address,wdutil_security,wdutil_phy_mode,wdutil_mcs_index,wdutil_nss,wdutil_cca,legacy_extra_columns_json,raw_measurement_json_path
f1a5f2f2c8a9,10,2026-04-28T00:12:16.539205+00:00,2,2026-04-28T00:12:19.026433+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c4:86:a2,en0,<redacted>,<redacted>,-82,-93,51.0 Mbps,2g1/20,<redacted> (hw=<redacted>),None,11ax,3,2,11 %,null,data/wifi_raw/f1a5f2f2c8a9.json
aacfb1a0541c,11,2026-04-28T00:12:21.544304+00:00,0,2026-04-28T00:12:21.623069+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c4:86:a2,en0,<redacted>,<redacted>,-83,-93,51.0 Mbps,2g1/20,<redacted> (hw=<redacted>),None,11ax,3,2,11 %,null,data/wifi_raw/aacfb1a0541c.json
aacfb1a0541c,11,2026-04-28T00:12:21.544304+00:00,1,2026-04-28T00:12:22.814367+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c4:86:a2,en0,<redacted>,<redacted>,-84,-93,48.0 Mbps,2g1/20,<redacted> (hw=<redacted>),None,11ax,3,2,11 %,null,data/wifi_raw/aacfb1a0541c.json
aacfb1a0541c,11,2026-04-28T00:12:21.544304+00:00,2,2026-04-28T00:12:23.997396+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c4:86:a2,en0,<redacted>,<redacted>,-86,-95,48.0 Mbps,2g1/20,<redacted> (hw=<redacted>),None,11ax,3,2,11 %,null,data/wifi_raw/aacfb1a0541c.json
f5990867dc76,12,2026-04-28T00:12:26.549392+00:00,0,2026-04-28T00:12:26.621994+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c4:86:a2,en0,<redacted>,<redacted>,-88,-95,48.0 Mbps,2g1/20,<redacted> (hw=<redacted>),None,11ax,2,2,11 %,null,data/wifi_raw/f5990867dc76.json
f5990867dc76,12,2026-04-28T00:12:26.549392+00:00,1,2026-04-28T00:12:27.843327+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c4:86:a2,en0,<redacted>,<redacted>,-87,-93,25.0 Mbps,2g1/20,<redacted> (hw=<redacted>),None,11ax,2,1,11 %,null,data/wifi_raw/f5990867dc76.json
f5990867dc76,12,2026-04-28T00:12:26.549392+00:00,2,2026-04-28T00:12:29.074849+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c4:86:a2,en0,<redacted>,<redacted>,-87,-93,25.0 Mbps,2g1/20,<redacted> (hw=<redacted>),None,11ax,2,1,11 %,null,data/wifi_raw/f5990867dc76.json
3b8506cb41e9,13,2026-04-28T00:12:31.554481+00:00,0,2026-04-28T00:12:31.629049+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c4:86:a2,en0,<redacted>,<redacted>,-87,-93,25.0 Mbps,2g1/20,<redacted> (hw=<redacted>),None,11ax,2,1,11 %,null,data/wifi_raw/3b8506cb41e9.json
3b8506cb41e9,13,2026-04-28T00:12:31.554481+00:00,1,2026-04-28T00:12:32.818422+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c4:86:a2,en0,<redacted>,<redacted>,-88,-93,17.0 Mbps,2g1/20,<redacted> (hw=<redacted>),None,11ax,2,1,36 %,null,data/wifi_raw/3b8506cb41e9.json
3b8506cb41e9,13,2026-04-28T00:12:31.554481+00:00,2,2026-04-28T00:12:34.041696+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c4:86:a2,en0,<redacted>,<redacted>,-88,-93,17.0 Mbps,2g1/20,<redacted> (hw=<redacted>),None,11ax,1,1,36 %,null,data/wifi_raw/3b8506cb41e9.json
