param_id,ls_xy,ls_z,os_xyz,ls_t,os_t,ap_form,ls_ap,os_ap
56,0.035,0.5,20,50,0,add,0.25,40.0
57,0.035,0.5,20,50,0,add,0.5,10.0
58,0.035,0.5,20,50,0,add,0.5,20.0
59,0.035,0.5,20,50,0,add,0.5,40.0
60,0.035,0.5,25,50,0,add,0.25,10.0
61,0.035,0.5,25,50,0,add,0.25,20.0
62,0.035,0.5,25,50,0,add,0.25,40.0
63,0.035,0.5,25,50,0,add,0.5,10.0
64,0.035,0.5,25,50,0,add,0.5,20.0
65,0.035,0.5,25,50,0,add,0.5,40.0
66,0.035,0.5,50,50,0,add,0.25,10.0
67,0.035,0.5,50,50,0,add,0.25,20.0
68,0.035,0.5,50,50,0,add,0.25,40.0
69,0.035,0.5,50,50,0,add,0.5,10.0
70,0.035,0.5,50,50,0,add,0.5,20.0
71,0.035,0.5,50,50,0,add,0.5,40.0
72,0.04,0.25,20,50,0,add,0.25,10.0
73,0.04,0.25,20,50,0,add,0.25,20.0
74,0.04,0.25,20,50,0,add,0.25,40.0
75,0.04,0.25,20,50,0,add,0.5,10.0
76,0.04,0.25,20,50,0,add,0.5,20.0
77,0.04,0.25,20,50,0,add,0.5,40.0
78,0.04,0.25,25,50,0,add,0.25,10.0
79,0.04,0.25,25,50,0,add,0.25,20.0
80,0.04,0.25,25,50,0,add,0.25,40.0
81,0.04,0.25,25,50,0,add,0.5,10.0
82,0.04,0.25,25,50,0,add,0.5,20.0
83,0.04,0.25,25,50,0,add,0.5,40.0
84,0.04,0.25,50,50,0,add,0.25,10.0
85,0.04,0.25,50,50,0,add,0.25,20.0
86,0.04,0.25,50,50,0,add,0.25,40.0
87,0.04,0.25,50,50,0,add,0.5,10.0
88,0.04,0.25,50,50,0,add,0.5,20.0
89,0.04,0.25,50,50,0,add,0.5,40.0
90,0.04,0.5,20,50,0,add,0.25,10.0
91,0.04,0.5,20,50,0,add,0.25,20.0
92,0.04,0.5,20,50,0,add,0.25,40.0
93,0.04,0.5,20,50,0,add,0.5,10.0
94,0.04,0.5,20,50,0,add,0.5,20.0
95,0.04,0.5,20,50,0,add,0.5,40.0
96,0.04,0.5,25,50,0,add,0.25,10.0
97,0.04,0.5,25,50,0,add,0.25,20.0
98,0.04,0.5,25,50,0,add,0.25,40.0
99,0.04,0.5,25,50,0,add,0.5,10.0
100,0.04,0.5,25,50,0,add,0.5,20.0
101,0.04,0.5,25,50,0,add,0.5,40.0
102,0.04,0.5,50,50,0,add,0.25,10.0
103,0.04,0.5,50,50,0,add,0.25,20.0
104,0.04,0.5,50,50,0,add,0.25,40.0
105,0.04,0.5,50,50,0,add,0.5,10.0
106,0.04,0.5,50,50,0,add,0.5,20.0
107,0.04,0.5,50,50,0,add,0.5,40.0
